City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,2.81,100,75,3.13,AR,1699699137
1,puerto ayora,-0.7393,-90.3518,23.64,89,80,1.79,EC,1699699138
2,port-aux-francais,-49.35,70.2167,3.01,66,51,7.92,TF,1699699138
3,ust-nera,64.5667,143.2,-32.43,98,73,1.95,RU,1699699139
4,bilibino,68.0546,166.4372,-29.99,100,92,1.56,RU,1699699139
5,waitangi,-43.9535,-176.5597,9.9,91,93,0.45,NZ,1699699140
6,ribeira grande,38.5167,-28.7,20.22,83,20,7.72,PT,1699699067
7,blackmans bay,-43.0167,147.3167,11.07,67,0,1.96,AU,1699699141
8,enewetak,11.3474,162.3373,28.56,76,95,8.25,MH,1699699142
9,kupang,-10.1667,123.5833,30.32,84,75,3.09,ID,1699699143
10,college,64.8569,-147.8028,-8.03,79,100,0.0,US,1699699144
11,mount isa,-20.7333,139.5,26.87,54,99,2.57,AU,1699699145
12,fray luis beltran,-39.3167,-65.7667,16.4,38,20,3.87,AR,1699699146
13,dingwall,57.5953,-4.4272,7.82,98,99,0.86,GB,1699699147
14,kwang binh,17.4833,106.6,26.48,86,25,1.74,VN,1699699148
15,cabo san lucas,22.8909,-109.9124,25.28,77,0,0.89,MX,1699699149
16,margaret river,-33.95,115.0667,15.91,63,2,9.41,AU,1699698931
17,pacific grove,36.6177,-121.9166,11.42,62,0,1.34,US,1699699150
18,olonkinbyen,70.9221,-8.7187,1.92,79,100,4.05,SJ,1699699150
19,remire-montjoly,4.9167,-52.2667,28.07,80,12,5.97,GF,1699699151
20,bredasdorp,-34.5322,20.0403,23.89,40,63,8.31,ZA,1699699152
21,anadyr,64.75,177.4833,-14.72,85,75,4.0,RU,1699699152
22,balnearia,-31.0088,-62.6673,19.94,87,80,4.44,AR,1699698668
23,lihue,21.9789,-159.3672,23.77,88,100,5.66,US,1699699154
24,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,98,100,5.0,RU,1699698916
25,afaahiti,-17.75,-149.2833,24.93,86,72,5.39,PF,1699699155
26,hukumati azrah,34.1736,69.6457,12.65,19,1,0.93,AF,1699699155
27,yuxi,24.355,102.5422,16.07,76,0,1.02,CN,1699699157
28,puerto natales,-51.7236,-72.4875,4.06,85,100,3.17,CL,1699699027
29,adamstown,-25.066,-130.1015,22.14,84,91,5.95,PN,1699699158
30,mejit,10.2753,170.8646,27.54,84,100,8.9,MH,1699699158
31,flying fish cove,-10.4217,105.6791,25.82,78,40,4.63,CX,1699699159
32,sakaiminato,35.55,133.2333,11.99,82,75,7.2,JP,1699699159
33,west island,-12.1568,96.8225,27.99,74,40,5.14,CC,1699699160
34,zaozersk,69.4005,32.4476,-6.0,83,21,2.76,RU,1699699161
35,dunedin,-45.8742,170.5036,11.55,94,5,2.78,NZ,1699698496
36,qaqortoq,60.7167,-46.0333,-5.0,65,35,4.1,GL,1699699162
37,macas,-2.3167,-78.1167,20.49,88,100,0.87,EC,1699699162
